n,m,trial,insert_calls,deletemin_calls,update_calls,i_ratio,d_ratio,u_ratio
1024,10240,0,1024,1024,1028,1.0,1.0,0.100390625
1024,10240,1,1024,1024,1023,1.0,1.0,0.09990234375
1024,10240,2,1024,1024,1018,1.0,1.0,0.0994140625
1024,10240,3,1024,1024,980,1.0,1.0,0.095703125
1024,10240,4,1024,1024,1020,1.0,1.0,0.099609375
1024,10240,5,1024,1024,1009,1.0,1.0,0.09853515625
1024,10240,6,1024,1024,1014,1.0,1.0,0.0990234375
1024,10240,7,1024,1024,1070,1.0,1.0,0.1044921875
1024,10240,8,1024,1024,997,1.0,1.0,0.09736328125
1024,10240,9,1024,1024,1001,1.0,1.0,0.09775390625
2048,22528,0,2048,2048,2232,1.0,1.0,0.09907670454545454
2048,22528,1,2048,2048,2191,1.0,1.0,0.09725674715909091
2048,22528,2,2048,2048,2149,1.0,1.0,0.09539240056818182
2048,22528,3,2048,2048,2170,1.0,1.0,0.09632457386363637
2048,22528,4,2048,2048,2229,1.0,1.0,0.09894353693181818
2048,22528,5,2048,2048,2092,1.0,1.0,0.09286221590909091
2048,22528,6,2048,2048,2202,1.0,1.0,0.09774502840909091
2048,22528,7,2048,2048,2202,1.0,1.0,0.09774502840909091
2048,22528,8,2048,2048,2198,1.0,1.0,0.09756747159090909
2048,22528,9,2048,2048,2142,1.0,1.0,0.09508167613636363
4096,49152,0,4096,4096,4781,1.0,1.0,0.09726969401041667
4096,49152,1,4096,4096,4651,1.0,1.0,0.09462483723958333
4096,49152,2,4096,4096,4565,1.0,1.0,0.09287516276041667
4096,49152,3,4096,4096,4656,1.0,1.0,0.0947265625
4096,49152,4,4096,4096,4641,1.0,1.0,0.09442138671875
4096,49152,5,4096,4096,4782,1.0,1.0,0.0972900390625
4096,49152,6,4096,4096,4744,1.0,1.0,0.09651692708333333
4096,49152,7,4096,4096,4633,1.0,1.0,0.09425862630208333
4096,49152,8,4096,4096,4794,1.0,1.0,0.0975341796875
