n,m,trial,insert_heapify_up,deletemin_heapify_up,deletemin_heapify_down,update_heapify_up,update_heapify_down,insert_calls,deletemin_calls,update_calls,r_insert,r_deletemin,r_update,log_k_n
1024,10240,0,1861,0,8337,1907,0,1024,1024,1004,0.18173828125,0.81416015625,0.1899402390438247,10.0
1024,10240,1,1883,0,8338,1851,0,1024,1024,1010,0.18388671875,0.8142578125,0.18326732673267326,10.0
1024,10240,2,1910,0,8320,1911,0,1024,1024,1024,0.1865234375,0.8125,0.18662109375,10.0
1024,10240,3,1872,0,8340,1868,0,1024,1024,1041,0.1828125,0.814453125,0.17944284341978867,10.0
1024,10240,4,1888,0,8311,1832,0,1024,1024,983,0.184375,0.81162109375,0.18636826042726348,10.0
1024,10240,5,1919,0,8352,1810,0,1024,1024,980,0.18740234375,0.815625,0.1846938775510204,10.0
1024,10240,6,1899,0,8343,1890,0,1024,1024,1019,0.18544921875,0.81474609375,0.18547595682041218,10.0
1024,10240,7,1859,0,8329,1984,0,1024,1024,1053,0.18154296875,0.81337890625,0.18841405508072176,10.0
1024,10240,8,1834,0,8355,1900,0,1024,1024,1010,0.1791015625,0.81591796875,0.18811881188118812,10.0
1024,10240,9,1971,0,8343,1876,0,1024,1024,993,0.19248046875,0.81474609375,0.18892245720040282,10.0
2048,22528,0,3737,0,18800,3873,0,2048,2048,2121,0.16588245738636365,0.8345170454545454,0.166002314517166,11.0
2048,22528,1,3753,0,18786,4001,0,2048,2048,2233,0.1665926846590909,0.8338955965909091,0.16288726947034157,11.0
2048,22528,2,3822,0,18785,4099,0,2048,2048,2147,0.16965553977272727,0.8338512073863636,0.17356141762289876,11.0
2048,22528,3,3722,0,18758,4138,0,2048,2048,2256,0.16521661931818182,0.8326526988636364,0.1667472598323662,11.0
2048,22528,4,3815,0,18834,4004,0,2048,2048,2150,0.1693448153409091,0.8360262784090909,0.16930232558139535,11.0
2048,22528,5,3709,0,18753,3957,0,2048,2048,2138,0.1646395596590909,0.8324307528409091,0.16825410324007142,11.0
2048,22528,6,3734,0,18747,3940,0,2048,2048,2118,0.16574928977272727,0.8321644176136364,0.1691132286033136,11.0
2048,22528,7,3766,0,18812,3921,0,2048,2048,2184,0.16716974431818182,0.8350497159090909,0.16321178821178822,11.0
2048,22528,8,3703,0,18790,4037,0,2048,2048,2220,0.16437322443181818,0.8340731534090909,0.16531531531531532,11.0
2048,22528,9,3749,0,18797,4020,0,2048,2048,2207,0.1664151278409091,0.8343838778409091,0.1655888289327347,11.0
4096,49152,0,7562,0,41650,8727,0,4096,4096,4696,0.15384928385416666,0.8473714192708334,0.15486584327086883,12.0
4096,49152,1,7703,0,41685,8695,0,4096,4096,4700,0.15671793619791666,0.84808349609375,0.15416666666666667,12.0
4096,49152,2,7614,0,41711,8754,0,4096,4096,4675,0.1549072265625,0.8486124674479166,0.1560427807486631,12.0
4096,49152,3,7541,0,41692,8716,0,4096,4096,4655,0.15342203776041666,0.8482259114583334,0.15603293949158611,12.0
4096,49152,4,7645,0,41748,8649,0,4096,4096,4630,0.15553792317708334,0.849365234375,0.15566954643628508,12.0
4096,49152,5,7608,0,41729,8665,0,4096,4096,4742,0.15478515625,0.8489786783854166,0.15227400534233093,12.0
4096,49152,6,7775,0,41712,8628,0,4096,4096,4613,0.15818277994791666,0.8486328125,0.1558638629958812,12.0
4096,49152,7,7627,0,41673,8592,0,4096,4096,4669,0.15517171223958334,0.84783935546875,0.153351895480831,12.0
4096,49152,8,7668,0,41737,8785,0,4096,4096,4758,0.156005859375,0.8491414388020834,0.15386366820793052,12.0
4096,49152,9,7588,0,41658,8695,0,4096,4096,4670,0.15437825520833334,0.8475341796875,0.15515703069236259,12.0
8192,106496,0,15251,0,91757,18627,0,8192,8192,10077,0.14320725661057693,0.8616004356971154,0.1421897542766849,13.0
8192,106496,1,15531,0,91658,18662,0,8192,8192,10128,0.14583646334134615,0.8606708233173077,0.14173957953578806,13.0
8192,106496,2,15277,0,91648,18546,0,8192,8192,10030,0.14345139723557693,0.8605769230769231,0.1422348339596595,13.0
8192,106496,3,15338,0,91754,18548,0,8192,8192,10026,0.14402418870192307,0.861572265625,0.14230692507173656,13.0
8192,106496,4,15251,0,91782,18587,0,8192,8192,10100,0.14320725661057693,0.8618351862980769,0.14156130997715155,13.0
8192,106496,5,15342,0,91724,18443,0,8192,8192,9869,0.14406174879807693,0.8612905649038461,0.14375238703944754,13.0
8192,106496,6,15399,0,91784,18552,0,8192,8192,9971,0.14459698016826922,0.8618539663461539,0.14312274827769764,13.0
8192,106496,7,15242,0,91760,18571,0,8192,8192,10069,0.14312274639423078,0.8616286057692307,0.14187490927981541,13.0
8192,106496,8,15413,0,91826,18763,0,8192,8192,10061,0.14472844050480768,0.8622483473557693,0.14345568952466875,13.0
8192,106496,9,15365,0,91765,18615,0,8192,8192,9958,0.14427771935096154,0.8616755558894231,0.1437962519504998,13.0
16384,229376,0,30980,0,200125,39044,0,16384,16384,21200,0.13506208147321427,0.8724757603236607,0.13154986522911052,14.0
