n,m,k,insert_calls,deletemin_calls,update_calls,heapify_up_calls,heapify_down_calls,insert_heapify_up,deletemin_heapify_up,deletemin_heapify_down,update_heapify_up,update_heapify_down,r_insert,r_deletemin,r_update,i_ratio,d_ratio,u_ratio,log_k_n
1024,1024,2,4,4,0,4,4,4,0,4,0,0,0.4,0.4,0.0,0.00390625,0.00390625,0.0,10.0
1024,1024,2,6,6,0,8,6,8,0,6,0,0,0.8,0.6,0.0,0.005859375,0.005859375,0.0,10.0
1024,1024,2,1,1,0,1,1,1,0,1,0,0,0.1,0.1,0.0,0.0009765625,0.0009765625,0.0,10.0
1024,1024,2,4,4,0,4,4,4,0,4,0,0,0.4,0.4,0.0,0.00390625,0.00390625,0.0,10.0
1024,1024,2,1,1,0,1,1,1,0,1,0,0,0.1,0.1,0.0,0.0009765625,0.0009765625,0.0,10.0
1024,1024,2,14,14,0,14,14,14,0,14,0,0,1.4,1.4,0.0,0.013671875,0.013671875,0.0,10.0
1024,1024,2,24,24,0,31,31,31,0,31,0,0,3.1,3.1,0.0,0.0234375,0.0234375,0.0,10.0
1024,1024,2,1,1,0,1,1,1,0,1,0,0,0.1,0.1,0.0,0.0009765625,0.0009765625,0.0,10.0
1024,1024,2,5,5,0,5,5,5,0,5,0,0,0.5,0.5,0.0,0.0048828125,0.0048828125,0.0,10.0
1024,1024,2,1,1,0,1,1,1,0,1,0,0,0.1,0.1,0.0,0.0009765625,0.0009765625,0.0,10.0
1024,1024,2,8,8,0,8,8,8,0,8,0,0,0.8,0.8,0.0,0.0078125,0.0078125,0.0,10.0
1024,1024,2,4,4,0,5,4,5,0,4,0,0,0.5,0.4,0.0,0.00390625,0.00390625,0.0,10.0
1024,1024,2,1,1,0,1,1,1,0,1,0,0,0.1,0.1,0.0,0.0009765625,0.0009765625,0.0,10.0
1024,1024,2,11,11,0,15,16,15,0,16,0,0,1.5,1.6,0.0,0.0107421875,0.0107421875,0.0,10.0
1024,1024,2,1,1,0,1,1,1,0,1,0,0,0.1,0.1,0.0,0.0009765625,0.0009765625,0.0,10.0
1024,2048,2,1,1,0,1,1,1,0,1,0,0,0.1,0.1,0.0,0.0009765625,0.0009765625,0.0,10.0
1024,2048,2,3,3,0,3,3,3,0,3,0,0,0.3,0.3,0.0,0.0029296875,0.0029296875,0.0,10.0
1024,2048,2,827,827,53,1405,5071,1314,0,5071,91,0,131.4,507.1,9.1,0.8076171875,0.8076171875,0.02587890625,10.0
1024,2048,2,1,1,0,1,1,1,0,1,0,0,0.1,0.1,0.0,0.0009765625,0.0009765625,0.0,10.0
1024,2048,2,827,827,45,1340,5218,1259,0,5218,81,0,125.9,521.8,8.1,0.8076171875,0.8076171875,0.02197265625,10.0
1024,2048,2,827,827,42,1380,5043,1309,0,5043,71,0,130.9,504.3,7.1,0.8076171875,0.8076171875,0.0205078125,10.0
1024,2048,2,1,1,0,1,1,1,0,1,0,0,0.1,0.1,0.0,0.0009765625,0.0009765625,0.0,10.0
1024,2048,2,2,2,0,2,2,2,0,2,0,0,0.2,0.2,0.0,0.001953125,0.001953125,0.0,10.0
1024,2048,2,828,828,56,1334,5150,1237,0,5150,97,0,123.7,515.0,9.7,0.80859375,0.80859375,0.02734375,10.0
1024,2048,2,827,827,58,1384,5175,1263,0,5175,121,0,126.3,517.5,12.1,0.8076171875,0.8076171875,0.0283203125,10.0
1024,2048,2,1,1,0,1,1,1,0,1,0,0,0.1,0.1,0.0,0.0009765625,0.0009765625,0.0,10.0
1024,2048,2,1,1,0,1,1,1,0,1,0,0,0.1,0.1,0.0,0.0009765625,0.0009765625,0.0,10.0
1024,2048,2,1,1,0,1,1,1,0,1,0,0,0.1,0.1,0.0,0.0009765625,0.0009765625,0.0,10.0
1024,2048,2,827,827,54,1397,5098,1292,0,5098,105,0,129.2,509.8,10.5,0.8076171875,0.8076171875,0.0263671875,10.0
1024,2048,2,827,827,57,1394,5087,1294,0,5087,100,0,129.4,508.7,10.0,0.8076171875,0.8076171875,0.02783203125,10.0
1024,4096,2,1002,1002,323,2216,7600,1581,0,7600,635,0,158.1,760.0,63.5,0.978515625,0.978515625,0.078857421875,10.0
1024,4096,2,1002,1002,303,2180,7674,1619,0,7674,561,0,161.9,767.4,56.1,0.978515625,0.978515625,0.073974609375,10.0
1024,4096,2,1002,1002,338,2270,7655,1641,0,7655,629,0,164.1,765.5,62.9,0.978515625,0.978515625,0.08251953125,10.0
1024,4096,2,1002,1002,326,2215,7552,1619,0,7552,596,0,161.9,755.2,59.6,0.978515625,0.978515625,0.07958984375,10.0
1024,4096,2,1003,1003,329,2293,7603,1677,0,7603,616,0,167.7,760.3,61.6,0.9794921875,0.9794921875,0.080322265625,10.0
1024,4096,2,1002,1002,339,2245,7546,1637,0,7546,608,0,163.7,754.6,60.8,0.978515625,0.978515625,0.082763671875,10.0
1024,4096,2,1002,1002,340,2239,7560,1600,0,7560,639,0,160.0,756.0,63.9,0.978515625,0.978515625,0.0830078125,10.0
1024,4096,2,1002,1002,330,2276,7587,1632,0,7587,644,0,163.2,758.7,64.4,0.978515625,0.978515625,0.08056640625,10.0
1024,4096,2,1002,1002,310,2230,7619,1596,0,7619,634,0,159.6,761.9,63.4,0.978515625,0.978515625,0.07568359375,10.0
1024,4096,2,1002,1002,334,2270,7563,1640,0,7563,630,0,164.0,756.3,63.0,0.978515625,0.978515625,0.08154296875,10.0
1024,4096,2,1002,1002,293,2243,7586,1667,0,7586,576,0,166.7,758.6,57.6,0.978515625,0.978515625,0.071533203125,10.0
1024,4096,2,1002,1002,319,2296,7591,1670,0,7591,626,0,167.0,759.1,62.6,0.978515625,0.978515625,0.077880859375,10.0
1024,4096,2,1002,1002,334,2299,7611,1635,0,7611,664,0,163.5,761.1,66.4,0.978515625,0.978515625,0.08154296875,10.0
1024,4096,2,1002,1002,328,2205,7580,1620,0,7580,585,0,162.0,758.0,58.5,0.978515625,0.978515625,0.080078125,10.0
1024,4096,2,1002,1002,303,2236,7658,1656,0,7658,580,0,165.6,765.8,58.0,0.978515625,0.978515625,0.073974609375,10.0
2048,2048,2,4,4,0,4,4,4,0,4,0,0,0.36363636363636365,0.36363636363636365,0.0,0.001953125,0.001953125,0.0,11.0
2048,2048,2,1,1,0,1,1,1,0,1,0,0,0.09090909090909091,0.09090909090909091,0.0,0.00048828125,0.00048828125,0.0,11.0
2048,2048,2,2,2,0,2,2,2,0,2,0,0,0.18181818181818182,0.18181818181818182,0.0,0.0009765625,0.0009765625,0.0,11.0
2048,2048,2,2,2,0,2,2,2,0,2,0,0,0.18181818181818182,0.18181818181818182,0.0,0.0009765625,0.0009765625,0.0,11.0
2048,2048,2,1,1,0,1,1,1,0,1,0,0,0.09090909090909091,0.09090909090909091,0.0,0.00048828125,0.00048828125,0.0,11.0
2048,2048,2,4,4,0,4,4,4,0,4,0,0,0.36363636363636365,0.36363636363636365,0.0,0.001953125,0.001953125,0.0,11.0
2048,2048,2,4,4,0,4,4,4,0,4,0,0,0.36363636363636365,0.36363636363636365,0.0,0.001953125,0.001953125,0.0,11.0
2048,2048,2,6,6,0,6,6,6,0,6,0,0,0.5454545454545454,0.5454545454545454,0.0,0.0029296875,0.0029296875,0.0,11.0
2048,2048,2,1,1,0,1,1,1,0,1,0,0,0.09090909090909091,0.09090909090909091,0.0,0.00048828125,0.00048828125,0.0,11.0
2048,2048,2,1,1,0,1,1,1,0,1,0,0,0.09090909090909091,0.09090909090909091,0.0,0.00048828125,0.00048828125,0.0,11.0
2048,2048,2,62,62,0,88,173,88,0,173,0,0,8.0,15.727272727272727,0.0,0.0302734375,0.0302734375,0.0,11.0
2048,2048,2,1,1,0,1,1,1,0,1,0,0,0.09090909090909091,0.09090909090909091,0.0,0.00048828125,0.00048828125,0.0,11.0
