n,m,trial,time,insert_calls,deletemin_calls,update_calls,normalized_time
2048,1048576,0,0.6199259757995605,2048,2048,9476,5.364136636024795e-08
2048,1048576,1,0.6189754009246826,2048,2048,9399,5.355911438645316e-08
2048,1048576,2,0.6062791347503662,2048,2048,9433,5.246052343874309e-08
2048,1048576,3,0.6199591159820557,2048,2048,9438,5.3644233935958376e-08
2048,1048576,4,0.6081101894378662,2048,2048,9253,5.26189621542545e-08
2048,1048576,5,0.6091330051422119,2048,2048,9418,5.270746503049719e-08
2048,1048576,6,0.607496976852417,2048,2048,9362,5.256590168859104e-08
2048,1048576,7,0.6075789928436279,2048,2048,9408,5.257299842272332e-08
2048,1048576,8,0.6087138652801514,2048,2048,9216,5.267119741827466e-08
2048,1048576,9,0.6088058948516846,2048,2048,9412,5.2679160614132394e-08
4096,1048576,0,0.6310017108917236,4096,4096,16419,4.995238394071813e-08
4096,1048576,1,0.6191811561584473,4096,4096,16364,4.901662595744031e-08
4096,1048576,2,0.6185369491577148,4096,4096,16334,4.8965628194863077e-08
4096,1048576,3,0.6185669898986816,4096,4096,16253,4.896800632886927e-08
4096,1048576,4,0.6413428783416748,4096,4096,16562,5.077102826123069e-08
4096,1048576,5,0.6295888423919678,4096,4096,16489,4.984053614610944e-08
4096,1048576,6,0.6294007301330566,4096,4096,16502,4.9825644497451615e-08
4096,1048576,7,0.6192519664764404,4096,4096,16357,4.902223155902633e-08
4096,1048576,8,0.6175482273101807,4096,4096,16380,4.888735738753229e-08
4096,1048576,9,0.6186659336090088,4096,4096,16481,4.897583907182617e-08
8192,1048576,0,0.6417219638824463,8192,8192,27536,4.671150904546448e-08
8192,1048576,1,0.6300690174102783,8192,8192,27529,4.586328077032833e-08
8192,1048576,2,0.6196579933166504,8192,8192,27826,4.5105453123009196e-08
8192,1048576,3,0.6291730403900146,8192,8192,27603,4.579806181096256e-08
8192,1048576,4,0.6194560527801514,8192,8192,27580,4.5090753692838144e-08
8192,1048576,5,0.6284418106079102,8192,8192,27753,4.574483494870209e-08
8192,1048576,6,0.6273610591888428,8192,8192,27681,4.56661660975033e-08
8192,1048576,7,0.6303150653839111,8192,8192,27229,4.588119081984017e-08
8192,1048576,8,0.6187779903411865,8192,8192,27602,4.504139692848576e-08
8192,1048576,9,0.6197249889373779,8192,8192,27748,4.5110329793467365e-08
16384,1048576,0,0.6639719009399414,16384,16384,44726,4.453365793349324e-08
16384,1048576,1,0.6638319492340088,16384,16384,44659,4.452427114861516e-08
16384,1048576,2,0.663240909576416,16384,16384,44104,4.448462917295459e-08
16384,1048576,3,0.6636691093444824,16384,16384,44472,4.4513349216636066e-08
16384,1048576,4,0.6638128757476807,16384,16384,44438,4.452299185936431e-08
16384,1048576,5,0.6602880954742432,16384,16384,44379,4.4286579205808075e-08
16384,1048576,6,0.6622369289398193,16384,16384,44461,4.441729058501321e-08
16384,1048576,7,0.6639590263366699,16384,16384,44918,4.453279441324892e-08
16384,1048576,8,0.6638939380645752,16384,16384,44721,4.4528428838680406e-08
16384,1048576,9,0.6628811359405518,16384,16384,44792,4.4460498579460516e-08
32768,1048576,0,0.6859118938446045,32768,32768,67196,4.2287615772261465e-08
32768,1048576,1,0.7077758312225342,32768,32768,67377,4.3635564089536367e-08
32768,1048576,2,0.696681022644043,32768,32768,67386,4.295155057928177e-08
32768,1048576,3,0.6850781440734863,32768,32768,67543,4.22362137040255e-08
32768,1048576,4,0.6847140789031982,32768,32768,67371,4.221376847720357e-08
32768,1048576,5,0.6858928203582764,32768,32768,67290,4.2286439859919776e-08
32768,1048576,6,0.6857509613037109,32768,32768,67390,4.2277694011878484e-08
32768,1048576,7,0.6969311237335205,32768,32768,66815,4.296696972986213e-08
32768,1048576,8,0.6835708618164062,32768,32768,67350,4.214328723122375e-08
32768,1048576,9,0.6856579780578613,32768,32768,67513,4.227196143921276e-08
65536,1048576,0,0.7069051265716553,65536,65536,92387,3.9656309608664526e-08
65536,1048576,1,0.7080380916595459,65536,65536,92607,3.9719867238411957e-08
65536,1048576,2,0.706585168838501,65536,65536,92645,3.96383604632266e-08
65536,1048576,3,0.7066612243652344,65536,65536,92456,3.964262706337168e-08
65536,1048576,4,0.70632004737854,65536,65536,92697,3.9623487549868196e-08
